"file","module","var"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_5"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_6"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_7"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_8"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_9"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_10"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_4"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_5"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_6"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_7"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_8"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_9"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_whynot_10"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_4"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_5"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_6"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_7"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_where_8"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_use_freq"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_4"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_5"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_6"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_7"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_mobile_8"
